season,age_group,date,home_team,away_team,home_goals,away_goals,elo_home_before,elo_away_before,elo_home_after,elo_away_after
Fall 1997,Over 40,1997-09-07,Stoughton CLC o-40,Nashoba Regionals,4,2,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Acton/Boxboro United,Brockton City FC,0,4,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Newton United Masters,Wayland Warriors,0,2,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Andover United Masters,Woburn Masters,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Lynnfield,Burlington Cougars,3,3,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Pepperell Masters,Wilmington United,0,1,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Merrimac AFC,North Reading II,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Natick Masters,Easton Masters,1,3,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Belmont Kickers,Holliston,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Shrewsbury,Sherborn Masters,1,3,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,North Reading Cobras,Westford over-40,0,1,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Groton/Dunstable,Nashua Absolute,3,2,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Melrose Good Guys,Andover Green Masters,1,0,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-07,Newton Spurs,Needham Masters II,1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-07,Acton-Boxboro United II,Westwood Masters,1,1,1500,1500,1500.0,1500.0
Fall 1997,Over 40,1997-09-07,Hopkinton Raiders,Mansfield United,1,2,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,Revere International,Bulington II,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-07,Danver Internationals,Billerica Rovers,1,1,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-07,Dracut,Harvard Veterans,2,5,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,Londonderry Pacers,Hollis Overlooked,3,1,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Pepperell,Wilmington Wildmen,4,3,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Westford,Andover Green,0,2,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,North Reading,"Merrimac, MA",1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-07,DePortivo ACA of Lowell,Woburn Strikers,5,4,1500,1500,1516.0,1484.0
Fall 1997,Over 30,1997-09-07,Windham,"Merrimack,NH",8,1,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-14,Nashoba Regionals,Acton/Boxboro United,3,5,1484.0,1484.0,1468.0,1500.0
Fall 1997,Over 40,1997-09-14,Wayland Warriors,Stoughton CLC o-40,0,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 40,1997-09-14,Brockton City FC,Newton United Masters,1,1,1516.0,1484.0,1514.5,1485.5
Fall 1997,Over 40,1997-09-14,Danvers International,Tewksbury Independent Crossover,2,1,1500,1500,1516.0,1484.0
Fall 1997,Over 40,1997-09-14,Woburn Masters,Andover Gold,2,4,1484.0,1500,1468.7,1515.3
Fall 1997,Over 40,1997-09-14,North Andover Seniors,Andover United Masters,2,3,1500,1516.0,1484.7,1531.3
Fall 1997,Over 40,1997-09-14,Burlington Cougars,Pepperell Masters,4,0,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 40,1997-09-14,North Reading II,Lynnfield,1,1,1484.0,1500.0,1484.7,1499.3
Fall 1997,Over 40,1997-09-14,Wilmington United,Merrimac AFC,0,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 40,1997-09-14,Easton Masters,Belmont Kickers,6,0,1516.0,1500.0,1531.3,1484.7
Fall 1997,Over 40,1997-09-14,Sherborn Masters,Natick Masters,1,0,1516.0,1484.0,1530.5,1469.5
Fall 1997,Over 40,1997-09-14,Holliston,Shrewsbury,2,2,1500.0,1484.0,1499.3,1484.7
Fall 1997,Over 40,1997-09-14,Westford over-40,Groton/Dunstable,1,0,1516.0,1516.0,1532.0,1500.0
Fall 1997,Over 40,1997-09-14,Andover Green Masters,North Reading Cobras,2,1,1484.0,1484.0,1500.0,1468.0
Fall 1997,Over 40,1997-09-14,Nashua Absolute,Melrose Good Guys,6,3,1484.0,1516.0,1501.5,1498.5
Fall 1997,Over 40,1997-09-14,Needham Masters II,Acton-Boxboro United II,0,3,1516.0,1500.0,1499.3,1516.7
Fall 1997,Over 40,1997-09-14,Mansfield United,Newton Spurs,3,3,1516.0,1484.0,1514.5,1485.5
Fall 1997,Over 40,1997-09-14,Westwood Masters,Hopkinton Raiders,2,0,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 30,1997-09-14,Atletico North Chelmsford,Salem,0,3,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,Peabody Sporting Club,Seacoast FC,2,6,1500,1500,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,North Andover Hotspurs,PAC Lowell,2,2,1500,1500,1500.0,1500.0
Fall 1997,Over 30,1997-09-14,Bulington II,Danver Internationals,0,3,1500.0,1500.0,1484.0,1516.0
Fall 1997,Over 30,1997-09-14,Harvard Veterans,Revere International,4,5,1516.0,1500.0,1499.3,1516.7
Fall 1997,Over 30,1997-09-14,Billerica Rovers,Dracut,0,0,1500.0,1484.0,1499.3,1484.7
Fall 1997,Over 30,1997-09-14,Hollis Overlooked,Wilmington Wildmen,1,1,1484.0,1484.0,1484.0,1484.0
Fall 1997,Over 30,1997-09-14,Andover Green,Londonderry Pacers,2,4,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-14,Pepperell,Westford,0,2,1516.0,1484.0,1498.5,1501.5
Fall 1997,Over 30,1997-09-14,"Merrimac, MA",DePortivo ACA of Lowell,1,3,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-14,"Merrimack,NH",North Reading,0,1,1484.0,1484.0,1468.0,1500.0
Fall 1997,Over 30,1997-09-14,Woburn Strikers,Windham,1,3,1484.0,1516.0,1469.5,1530.5
Fall 1997,Over 48,1997-09-14,Tewksbury Grand Masters,N.Andover Grand Masters,1,5,1500,1500,1484.0,1516.0
Fall 1997,Over 40,1997-09-21,Newton United Masters,Nashoba Regionals,3,2,1485.5,1468.0,1500.7,1452.8
Fall 1997,Over 40,1997-09-21,Acton/Boxboro United,Stoughton CLC o-40,1,1,1500.0,1532.0,1501.5,1530.5
Fall 1997,Over 40,1997-09-21,Wayland Warriors,Brockton City FC,2,1,1500.0,1514.5,1516.7,1497.9
Fall 1997,Over 40,1997-09-21,Andover United Masters,Danvers International Crossover,3,2,1531.3,1500,1545.8,1485.4
Fall 1997,Over 40,1997-09-21,Merrimac AFC,Burlington Cougars,2,1,1532.0,1515.3,1547.2,1500.0
Fall 1997,Over 40,1997-09-21,Pepperell Masters,Lynnfield,0,2,1468.7,1499.3,1454.1,1513.9
Fall 1997,Over 40,1997-09-21,North Reading II,Wilmington United,2,0,1484.7,1500.0,1501.4,1483.3
Fall 1997,Over 40,1997-09-21,Shrewsbury,Easton Masters,0,3,1484.7,1531.3,1470.9,1545.1
Fall 1997,Over 40,1997-09-21,Belmont Kickers,Natick Masters,2,0,1484.7,1469.5,1500.0,1454.2
Fall 1997,Over 40,1997-09-21,Sherborn Masters,Holliston,2,3,1530.5,1499.3,1513.1,1516.7
Fall 1997,Over 40,1997-09-21,Melrose Good Guys,Westford over-40,1,3,1498.5,1532.0,1484.1,1546.5
Fall 1997,Over 40,1997-09-21,Groton/Dunstable,North Reading Cobras,1,1,1500.0,1468.0,1498.5,1469.5
Fall 1997,Over 40,1997-09-21,Andover Green Masters,Nashua Absolute,1,3,1500.0,1501.5,1484.1,1517.4
Fall 1997,Over 40,1997-09-21,Hopkinton Raiders,Needham Masters II,1,2,1468.7,1499.3,1454.1,1513.9
Fall 1997,Over 40,1997-09-21,Acton-Boxboro United II,Newton Spurs,4,3,1516.7,1485.5,1531.3,1470.9
Fall 1997,Over 40,1997-09-21,Mansfield United,Westwood Masters,0,0,1514.5,1515.3,1514.6,1515.2
Fall 1997,Over 30,1997-09-21,PAC Lowell,Atletico North Chelmsford,6,2,1500.0,1484.0,1515.3,1468.7
Fall 1997,Over 30,1997-09-21,Salem,Seacoast FC,1,2,1516.0,1516.0,1500.0,1532.0
Fall 1997,Over 30,1997-09-21,Peabody Sporting Club,North Andover Hotspurs,2,2,1484.0,1500.0,1484.7,1499.3
Fall 1997,Over 30,1997-09-21,Dracut,Bulington II,1,2,1484.7,1484.0,1468.7,1500.0
Fall 1997,Over 30,1997-09-21,Danver Internationals,Revere International,3,2,1516.0,1516.7,1532.0,1500.7
Fall 1997,Over 30,1997-09-21,Harvard Veterans,Billerica Rovers,1,2,1499.3,1499.3,1483.3,1515.3
Fall 1997,Over 30,1997-09-21,Westford,Hollis Overlooked,4,0,1501.5,1484.0,1516.7,1468.8
Fall 1997,Over 30,1997-09-21,Wilmington Wildmen,Londonderry Pacers,2,3,1484.0,1532.0,1470.2,1545.8
Fall 1997,Over 30,1997-09-21,Andover Green,Pepperell,4,2,1500.0,1498.5,1515.9,1482.6
Fall 1997,Over 30,1997-09-21,Windham,"Merrimac, MA",3,2,1530.5,1500.0,1545.1,1485.4
Fall 1997,Over 30,1997-09-21,DePortivo ACA of Lowell,North Reading,5,0,1532.0,1500.0,1546.5,1485.5
Fall 1997,Over 30,1997-09-21,"Merrimack,NH",Woburn Strikers,3,6,1468.0,1469.5,1452.1,1485.4
Fall 1997,Over 40,1997-09-28,Nashoba Regionals,Brockton City FC,2,8,1452.8,1497.9,1438.9,1511.8
Fall 1997,Over 40,1997-09-28,Stoughton CLC o-40,Newton United Masters,4,1,1530.5,1500.7,1545.2,1486.0
Fall 1997,Over 40,1997-09-28,Acton/Boxboro United,Wayland Warriors,4,1,1501.5,1516.7,1518.2,1500.0
Fall 1997,Over 40,1997-09-28,Danvers International,North Andover Seniors Crossover,1,2,1516.0,1500,1499.3,1516.7
Fall 1997,Over 40,1997-09-28,Andover Gold,Andover United Masters,1,1,1515.3,1545.8,1516.7,1544.4
Fall 1997,Over 40,1997-09-28,Tewksbury Independent,Woburn Masters,3,2,1500,1468.7,1514.6,1454.2
Fall 1997,Over 40,1997-09-28,Burlington Cougars,Wilmington United,2,0,1500.0,1483.3,1515.3,1468.1
Fall 1997,Over 40,1997-09-28,Lynnfield,Merrimac AFC,2,2,1513.9,1547.2,1515.4,1545.7
Fall 1997,Over 40,1997-09-28,Pepperell Masters,North Reading II,3,0,1454.1,1501.4,1472.3,1483.3
Fall 1997,Over 40,1997-09-28,Easton Masters,Holliston,1,1,1545.1,1516.7,1543.8,1518.0
Fall 1997,Over 40,1997-09-28,Natick Masters,Shrewsbury,2,2,1454.2,1470.9,1454.9,1470.1
Fall 1997,Over 40,1997-09-28,Belmont Kickers,Sherborn Masters,0,4,1500.0,1513.1,1484.6,1528.5
Fall 1997,Over 40,1997-09-28,Westford over-40,Nashua Absolute,0,0,1546.5,1517.4,1545.1,1518.7
Fall 1997,Over 40,1997-09-28,North Reading Cobras,Melrose Good Guys,2,1,1469.5,1484.1,1486.1,1467.4
Fall 1997,Over 40,1997-09-28,Groton/Dunstable,Andover Green Masters,1,2,1498.5,1484.1,1481.9,1500.7
Fall 1997,Over 40,1997-09-28,Needham Masters II,Westwood Masters,3,1,1513.9,1515.2,1529.9,1499.2
Fall 1997,Over 40,1997-09-28,Newton Spurs,Hopkinton Raiders,0,3,1470.9,1454.1,1454.1,1470.9
Fall 1997,Over 40,1997-09-28,Acton-Boxboro United II,Mansfield United,1,0,1531.3,1514.6,1546.5,1499.3
Fall 1997,Over 30,1997-09-28,Atletico North Chelmsford,North Andover Hotspurs,1,0,1468.7,1499.3,1486.1,1481.9
Fall 1997,Over 30,1997-09-28,Seacoast FC,PAC Lowell,1,0,1532.0,1515.3,1547.2,1500.0
Fall 1997,Over 30,1997-09-28,Salem,Peabody Sporting Club,6,0,1500.0,1484.7,1515.3,1469.4
Fall 1997,Over 30,1997-09-28,Bulington II,Billerica Rovers,0,1,1500.0,1515.3,1484.7,1530.6
Fall 1997,Over 30,1997-09-28,Revere International,Dracut,3,5,1500.7,1468.7,1483.2,1486.2
Fall 1997,Over 30,1997-09-28,Danver Internationals,Harvard Veterans,6,3,1532.0,1483.3,1545.8,1469.5
Fall 1997,Over 30,1997-09-28,Hollis Overlooked,Pepperell,5,1,1468.8,1482.6,1485.4,1466.0
Fall 1997,Over 30,1997-09-28,Londonderry Pacers,Westford,2,1,1545.8,1516.7,1560.5,1502.0
Fall 1997,Over 30,1997-09-28,Wilmington Wildmen,Andover Green,1,2,1470.2,1515.9,1456.3,1529.8
Fall 1997,Over 30,1997-09-28,"Merrimac, MA",Woburn Strikers,5,2,1485.4,1485.4,1501.4,1469.4
Fall 1997,Over 30,1997-09-28,North Reading,Windham,1,5,1485.5,1545.1,1472.2,1558.4
Fall 1997,Over 30,1997-09-28,DePortivo ACA of Lowell,"Merrimack,NH",11,0,1546.5,1452.1,1558.3,1440.3
Fall 1997,Over 48,1997-09-28,Tewksbury Grand Masters,Methuen United,2,0,1484.0,1500,1500.7,1483.3
Fall 1997,Over 40,1997-10-05,Wayland Warriors,Nashoba Regionals,4,2,1500.0,1438.9,1513.2,1425.7
Fall 1997,Over 40,1997-10-05,Brockton City FC,Stoughton CLC o-40,2,0,1511.8,1545.2,1529.3,1527.6
Fall 1997,Over 40,1997-10-05,Newton United Masters,Acton/Boxboro United,2,5,1486.0,1518.2,1471.5,1532.7
Fall 1997,Over 40,1997-10-05,Woburn Masters,Danvers International Crossover,2,2,1454.2,1485.4,1455.6,1484.0
Fall 1997,Over 40,1997-10-05,North Andover Seniors,Andover Gold,2,1,1484.7,1516.7,1502.2,1499.2
Fall 1997,Over 40,1997-10-05,Andover United Masters,Tewksbury Independent,1,5,1544.4,1514.6,1527.1,1531.9
Fall 1997,Over 40,1997-10-05,North Reading II,Burlington Cougars,0,5,1483.3,1515.3,1468.7,1529.8
Fall 1997,Over 40,1997-10-05,Wilmington United,Lynnfield,3,3,1468.1,1515.4,1470.2,1513.2
Fall 1997,Over 40,1997-10-05,Merrimac AFC,Pepperell Masters,3,0,1545.7,1472.3,1558.4,1459.6
Fall 1997,Over 40,1997-10-05,Sherborn Masters,Easton Masters,1,2,1528.5,1543.8,1513.2,1559.1
Fall 1997,Over 40,1997-10-05,Holliston,Natick Masters,0,2,1518.0,1454.9,1499.1,1473.8
Fall 1997,Over 40,1997-10-05,Shrewsbury,Belmont Kickers,2,1,1470.1,1484.6,1486.8,1468.0
Fall 1997,Over 40,1997-10-05,Andover Green Masters,Westford over-40,1,4,1500.7,1545.1,1486.8,1559.1
Fall 1997,Over 40,1997-10-05,Nashua Absolute,North Reading Cobras,6,1,1518.7,1486.1,1533.2,1471.6
Fall 1997,Over 40,1997-10-05,Melrose Good Guys,Groton/Dunstable,4,5,1467.4,1481.9,1452.1,1497.2
Fall 1997,Over 40,1997-10-05,Mansfield United,Needham Masters II,4,0,1499.3,1529.9,1516.7,1512.5
Fall 1997,Over 40,1997-10-05,Westwood Masters,Newton Spurs,3,0,1499.2,1454.1,1513.1,1440.2
Fall 1997,Over 40,1997-10-05,Hopkinton Raiders,Acton-Boxboro United II,0,1,1470.9,1546.5,1458.3,1559.1
Fall 1997,Over 30,1997-10-05,Peabody Sporting Club,Atletico North Chelmsford,2,1,1469.4,1486.1,1486.2,1469.4
Fall 1997,Over 30,1997-10-05,North Andover Hotspurs,Seacoast FC,2,1,1481.9,1547.2,1500.8,1528.3
Fall 1997,Over 30,1997-10-05,PAC Lowell,Salem,4,3,1500.0,1515.3,1516.7,1498.6
Fall 1997,Over 30,1997-10-05,Harvard Veterans,Bulington II,2,1,1469.5,1484.7,1486.2,1468.0
Fall 1997,Over 30,1997-10-05,Billerica Rovers,Revere International,3,1,1530.6,1483.2,1544.4,1469.4
Fall 1997,Over 30,1997-10-05,Dracut,Danver Internationals,1,6,1486.2,1545.8,1472.9,1559.1
Fall 1997,Over 30,1997-10-05,Andover Green,Hollis Overlooked,2,2,1529.8,1485.4,1527.8,1487.5
Fall 1997,Over 30,1997-10-05,Pepperell,Londonderry Pacers,3,4,1466.0,1560.5,1454.2,1572.2
Fall 1997,Over 30,1997-10-05,Westford,Wilmington Wildmen,5,2,1502.0,1456.3,1515.9,1442.4
Fall 1997,Over 30,1997-10-05,"Merrimack,NH","Merrimac, MA",1,10,1440.3,1501.4,1427.1,1514.6
Fall 1997,Over 30,1997-10-05,Woburn Strikers,North Reading,4,0,1469.4,1472.2,1485.5,1456.1
Fall 1997,Over 30,1997-10-05,Windham,DePortivo ACA of Lowell,3,2,1558.4,1558.3,1574.4,1542.3
Fall 1997,Over 40,1997-10-12,Nashoba Regionals,Stoughton CLC o-40,0,2,1425.7,1527.6,1414.2,1539.1
Fall 1997,Over 40,1997-10-12,Brockton City FC,Acton/Boxboro United,2,0,1529.3,1532.7,1545.5,1516.5
Fall 1997,Over 40,1997-10-12,Wayland Warriors,Newton United Masters,2,0,1513.2,1471.5,1527.3,1457.4
Fall 1997,Over 40,1997-10-12,Danvers International,Andover Gold Crossover,1,1,1499.3,1500,1499.3,1500.0
Fall 1997,Over 40,1997-10-12,North Andover Seniors,Tewksbury Independent,2,1,1502.2,1531.9,1519.6,1514.6
Fall 1997,Over 40,1997-10-12,Woburn Masters,Andover United Masters,3,3,1455.6,1527.1,1458.9,1523.8
Fall 1997,Over 40,1997-10-12,Burlington Cougars,Lynnfield,0,1,1529.8,1513.2,1513.0,1530.0
Fall 1997,Over 40,1997-10-12,Wilmington United,Pepperell Masters,2,2,1470.2,1459.6,1469.7,1460.1
Fall 1997,Over 40,1997-10-12,North Reading II,Merrimac AFC,2,6,1468.7,1558.4,1456.8,1570.3
Fall 1997,Over 40,1997-10-12,Easton Masters,Natick Masters,5,0,1559.1,1473.8,1571.3,1461.7
Fall 1997,Over 40,1997-10-12,Holliston,Belmont Kickers,3,0,1499.1,1468.0,1513.7,1453.4
Fall 1997,Over 40,1997-10-12,Sherborn Masters,Shrewsbury,3,0,1513.2,1486.8,1528.0,1472.0
Fall 1997,Over 40,1997-10-12,Westford over-40,North Reading Cobras,2,1,1559.1,1471.6,1571.2,1459.6
Fall 1997,Over 40,1997-10-12,Nashua Absolute,Groton/Dunstable,6,0,1533.2,1497.2,1547.6,1482.9
Fall 1997,Over 40,1997-10-12,Andover Green Masters,Melrose Good Guys,3,1,1486.8,1452.1,1501.2,1437.7
Fall 1997,Over 40,1997-10-12,Needham Masters II,Newton Spurs,1,2,1512.5,1440.2,1493.2,1459.5
Fall 1997,Over 40,1997-10-12,Westwood Masters,Acton-Boxboro United II,2,2,1513.1,1559.1,1515.2,1557.0
Fall 1997,Over 40,1997-10-12,Mansfield United,Hopkinton Raiders,6,2,1516.7,1458.3,1530.1,1445.0
Fall 1997,Over 30,1997-10-12,Atletico North Chelmsford,Seacoast FC,0,5,1469.4,1528.3,1456.1,1541.6
Fall 1997,Over 30,1997-10-12,North Andover Hotspurs,Salem,1,2,1500.8,1498.6,1484.7,1514.7
Fall 1997,Over 30,1997-10-12,Peabody Sporting Club,PAC Lowell,2,3,1486.2,1516.7,1471.6,1531.3
Fall 1997,Over 30,1997-10-12,Bulington II,Revere International,1,2,1468.0,1469.4,1452.1,1485.3
Fall 1997,Over 30,1997-10-12,Billerica Rovers,Danver Internationals,0,2,1544.4,1559.1,1529.1,1574.4
Fall 1997,Over 30,1997-10-12,Harvard Veterans,Dracut,2,1,1486.2,1472.9,1501.6,1457.5
Fall 1997,Over 30,1997-10-12,Hollis Overlooked,Londonderry Pacers,1,1,1487.5,1572.2,1491.3,1568.4
Fall 1997,Over 30,1997-10-12,Wilmington Wildmen,Pepperell,3,1,1442.4,1454.2,1458.9,1437.7
Fall 1997,Over 30,1997-10-12,Andover Green,Westford,1,3,1527.8,1515.9,1511.3,1532.5
Fall 1997,Over 30,1997-10-12,"Merrimac, MA",North Reading,2,0,1514.6,1456.1,1527.9,1442.7
Fall 1997,Over 30,1997-10-12,Woburn Strikers,DePortivo ACA of Lowell,1,3,1485.5,1542.3,1472.1,1555.7
Fall 1997,Over 30,1997-10-12,"Merrimack,NH",Windham,0,11,1427.1,1574.4,1417.5,1584.0
Fall 1997,Over 40,1997-10-19,Acton/Boxboro United,Nashoba Regionals,7,0,1516.5,1414.2,1528.0,1402.8
Fall 1997,Over 40,1997-10-19,Stoughton CLC o-40,Wayland Warriors,1,1,1539.1,1527.3,1538.5,1527.8
Fall 1997,Over 40,1997-10-19,Newton United Masters,Brockton City FC,3,0,1457.4,1545.5,1477.4,1525.5
Fall 1997,Over 40,1997-10-19,Andover United Masters,North Andover Seniors,2,0,1523.8,1519.6,1539.6,1503.8
Fall 1997,Over 40,1997-10-19,Pepperell Masters,Burlington Cougars,0,2,1460.1,1513.0,1446.5,1526.6
Fall 1997,Over 40,1997-10-19,Lynnfield,North Reading II,1,1,1530.0,1456.8,1526.7,1460.1
Fall 1997,Over 40,1997-10-19,Merrimac AFC,Wilmington United,4,1,1570.3,1469.7,1581.8,1458.3
Fall 1997,Over 40,1997-10-19,Belmont Kickers,Easton Masters,1,4,1453.4,1571.3,1442.6,1582.0
Fall 1997,Over 40,1997-10-19,Natick Masters,Sherborn Masters,0,0,1461.7,1528.0,1464.7,1525.0
Fall 1997,Over 40,1997-10-19,Shrewsbury,Holliston,3,3,1472.0,1513.7,1473.9,1511.8
Fall 1997,Over 40,1997-10-19,Groton/Dunstable,Westford over-40,0,0,1482.9,1571.2,1486.8,1567.2
Fall 1997,Over 40,1997-10-19,North Reading Cobras,Andover Green Masters,1,0,1459.6,1501.2,1477.5,1483.3
Fall 1997,Over 40,1997-10-19,Melrose Good Guys,Nashua Absolute,1,4,1437.7,1547.6,1426.6,1558.7
Fall 1997,Over 40,1997-10-19,Acton-Boxboro United II,Needham Masters II,1,0,1557.0,1493.2,1570.1,1480.1
Fall 1997,Over 40,1997-10-19,Newton Spurs,Mansfield United,1,3,1459.5,1530.1,1446.7,1542.9
Fall 1997,Over 40,1997-10-19,Hopkinton Raiders,Westwood Masters,1,1,1445.0,1515.2,1448.2,1512.0
Fall 1997,Over 30,1997-10-19,Salem,Atletico North Chelmsford,5,1,1514.7,1456.1,1528.0,1442.7
Fall 1997,Over 30,1997-10-19,Seacoast FC,Peabody Sporting Club,2,0,1541.6,1471.6,1554.4,1458.8
Fall 1997,Over 30,1997-10-19,PAC Lowell,North Andover Hotspurs,0,1,1531.3,1484.7,1513.2,1502.9
Fall 1997,Over 30,1997-10-19,Danver Internationals,Bulington II,3,0,1574.4,1452.1,1585.0,1441.5
Fall 1997,Over 30,1997-10-19,Revere International,Harvard Veterans,3,2,1485.3,1501.6,1502.1,1484.8
Fall 1997,Over 30,1997-10-19,Dracut,Billerica Rovers,0,3,1457.5,1529.1,1444.8,1541.8
Fall 1997,Over 30,1997-10-19,Wilmington Wildmen,Hollis Overlooked,2,0,1458.9,1491.3,1476.4,1473.8
Fall 1997,Over 30,1997-10-19,Londonderry Pacers,Andover Green,1,3,1568.4,1511.3,1549.8,1529.9
Fall 1997,Over 30,1997-10-19,Westford,Pepperell,5,1,1532.5,1437.7,1544.2,1425.9
Fall 1997,Over 30,1997-10-19,DePortivo ACA of Lowell,"Merrimac, MA",1,3,1555.7,1527.9,1538.4,1545.2
Fall 1997,Over 30,1997-10-19,North Reading,"Merrimack,NH",8,1,1442.7,1417.5,1457.6,1402.7
Fall 1997,Over 30,1997-10-19,Windham,Woburn Strikers,2,1,1584.0,1472.1,1595.0,1461.1
Fall 1997,Over 40,1997-10-26,Stoughton CLC o-40,Acton/Boxboro United,2,6,1538.5,1528.0,1522.0,1544.4
Fall 1997,Over 40,1997-10-26,Brockton City FC,Wayland Warriors,1,1,1525.5,1527.8,1525.6,1527.7
Fall 1997,Over 40,1997-10-26,Danvers International,Andover United Masters Crossover,1,4,1499.3,1500,1483.3,1516.0
Fall 1997,Over 40,1997-10-26,Andover Gold,Tewksbury Independent,1,1,1499.2,1514.6,1499.9,1513.9
Fall 1997,Over 40,1997-10-26,North Andover Seniors,Woburn Masters,6,0,1503.8,1458.9,1517.7,1444.9
Fall 1997,Over 40,1997-10-26,Burlington Cougars,Merrimac AFC,1,1,1526.6,1581.8,1529.1,1579.3
Fall 1997,Over 40,1997-10-26,Lynnfield,Pepperell Masters,3,2,1526.7,1446.5,1539.0,1434.2
Fall 1997,Over 40,1997-10-26,Wilmington United,North Reading II,7,1,1458.3,1460.1,1474.3,1444.0
Fall 1997,Over 40,1997-10-26,Easton Masters,Shrewsbury,4,1,1582.0,1473.9,1593.2,1462.7
Fall 1997,Over 40,1997-10-26,Natick Masters,Belmont Kickers,1,1,1464.7,1442.6,1463.7,1443.6
Fall 1997,Over 40,1997-10-26,Holliston,Sherborn Masters,0,6,1511.8,1525.0,1496.4,1540.4
Fall 1997,Over 40,1997-10-26,Westford over-40,Melrose Good Guys,4,0,1567.2,1426.6,1577.0,1416.7
Fall 1997,Over 40,1997-10-26,North Reading Cobras,Groton/Dunstable,1,1,1477.5,1486.8,1477.9,1486.4
Fall 1997,Over 40,1997-10-26,Nashua Absolute,Andover Green Masters,5,0,1558.7,1483.3,1571.3,1470.7
Fall 1997,Over 40,1997-10-26,Needham Masters II,Hopkinton Raiders,0,1,1480.1,1448.2,1462.7,1465.7
Fall 1997,Over 40,1997-10-26,Newton Spurs,Acton-Boxboro United II,0,4,1446.7,1570.1,1436.1,1580.6
Fall 1997,Over 40,1997-10-26,Westwood Masters,Mansfield United,2,2,1512.0,1542.9,1513.4,1541.5
Fall 1997,Over 30,1997-10-26,Atletico North Chelmsford,PAC Lowell,2,4,1442.7,1513.2,1429.9,1526.0
Fall 1997,Over 30,1997-10-26,Seacoast FC,Salem,0,0,1554.4,1528.0,1553.2,1529.2
Fall 1997,Over 30,1997-10-26,North Andover Hotspurs,Peabody Sporting Club,5,0,1502.9,1458.8,1516.8,1444.8
Fall 1997,Over 30,1997-10-26,Bulington II,Dracut,3,4,1441.5,1444.8,1425.7,1460.6
Fall 1997,Over 30,1997-10-26,Revere International,Danver Internationals,1,1,1502.1,1585.0,1505.8,1581.2
Fall 1997,Over 30,1997-10-26,Billerica Rovers,Harvard Veterans,3,3,1541.8,1484.8,1539.2,1487.4
Fall 1997,Over 30,1997-10-26,Hollis Overlooked,Westford,1,2,1473.8,1544.2,1461.0,1557.0
Fall 1997,Over 30,1997-10-26,Londonderry Pacers,Wilmington Wildmen,2,0,1549.8,1476.4,1562.5,1463.7
Fall 1997,Over 30,1997-10-26,Pepperell,Andover Green,1,7,1425.9,1529.9,1414.6,1541.2
Fall 1997,Over 30,1997-10-26,"Merrimac, MA",Windham,2,2,1545.2,1595.0,1547.5,1592.7
Fall 1997,Over 30,1997-10-26,North Reading,DePortivo ACA of Lowell,2,5,1457.6,1538.4,1445.2,1550.8
Fall 1997,Over 30,1997-10-26,Woburn Strikers,"Merrimack,NH",6,1,1461.1,1402.7,1474.4,1389.3
Fall 1997,Over 40,1997-11-02,Brockton City FC,Nashoba Regionals,2,2,1525.6,1402.8,1520.2,1408.2
Fall 1997,Over 40,1997-11-02,Newton United Masters,Stoughton CLC o-40,1,2,1477.4,1522.0,1463.4,1536.0
Fall 1997,Over 40,1997-11-02,Wayland Warriors,Acton/Boxboro United,1,1,1527.7,1544.4,1528.5,1543.7
