season,age_group,division,geography,date,home_team,home_goals,away_goals,away_team,notes
Spring 2026,Over 40,2,South,2026-06-07,Taunton Eagles Soccer Club,,,Framingham Persepolis,scheduled
Spring 2026,Over 40,2,South,2026-06-07,FUFC,,,Albania United Veterans,scheduled
Spring 2026,Over 40,2,South,2026-06-07,Natick Rovers FC,,,Crafty Veterans,scheduled
Spring 2026,Over 40,2,South,2026-06-14,Newton Brigada,,,Taunton Eagles Soccer Club,scheduled
Spring 2026,Over 40,2,South,2026-06-14,Framingham Persepolis,,,Celtic Masters,scheduled
Spring 2026,Over 40,2,South,2026-06-14,Albania United Veterans,,,Natick Rovers FC,scheduled
Spring 2026,Over 40,2,South,2026-06-14,Crafty Veterans,,,FUFC,scheduled
Spring 2026,Over 40,2,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,2,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,2,South,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,North,2026-04-05,Arlington Pond Dawgz,3,1,Lexington Eagles,
Spring 2026,Over 40,3,North,2026-04-05,Lexington Bald Eagles O40,1,2,Windham,
Spring 2026,Over 40,3,North,2026-04-05,Lynnfield FC,3,2,Medford United,
Spring 2026,Over 40,3,North,2026-04-12,Boston White Eagles,,,Arlington Pond Dawgz,scheduled
Spring 2026,Over 40,3,North,2026-04-12,Lexington Eagles,,,Nashua Absolute,scheduled
Spring 2026,Over 40,3,North,2026-04-12,Medford United,,,Lexington Bald Eagles O40,scheduled
Spring 2026,Over 40,3,North,2026-04-12,Windham,,,Lynnfield FC,scheduled
Spring 2026,Over 40,3,North,2026-04-19,Arlington Pond Dawgz,,,Nashua Absolute,scheduled
Spring 2026,Over 40,3,North,2026-04-19,Boston White Eagles,,,Lexington Eagles,scheduled
Spring 2026,Over 40,3,North,2026-04-19,Windham,,,Medford United,scheduled
Spring 2026,Over 40,3,North,2026-04-19,Lynnfield FC,,,Lexington Bald Eagles O40,scheduled
Spring 2026,Over 40,3,North,2026-04-26,Lexington Eagles,,,Lynnfield FC,scheduled
Spring 2026,Over 40,3,North,2026-04-26,Nashua Absolute,,,Windham,scheduled
Spring 2026,Over 40,3,North,2026-04-26,Lexington Bald Eagles O40,,,Boston White Eagles,scheduled
Spring 2026,Over 40,3,North,2026-04-26,Medford United,,,Arlington Pond Dawgz,scheduled
Spring 2026,Over 40,3,North,2026-05-03,Lexington Bald Eagles O40,,,Nashua Absolute,scheduled
Spring 2026,Over 40,3,North,2026-05-03,Windham,,,Boston White Eagles,scheduled
Spring 2026,Over 40,3,North,2026-05-03,Lynnfield FC,,,Arlington Pond Dawgz,scheduled
Spring 2026,Over 40,3,North,2026-05-03,Medford United,,,Lexington Eagles,scheduled
Spring 2026,Over 40,3,North,2026-05-10,Arlington Pond Dawgz,,,Windham,scheduled
Spring 2026,Over 40,3,North,2026-05-10,Lexington Eagles,,,Lexington Bald Eagles O40,scheduled
Spring 2026,Over 40,3,North,2026-05-10,Nashua Absolute,,,Medford United,scheduled
Spring 2026,Over 40,3,North,2026-05-10,Boston White Eagles,,,Lynnfield FC,scheduled
Spring 2026,Over 40,3,North,2026-05-17,Arlington Pond Dawgz,,,Lexington Bald Eagles O40,scheduled
Spring 2026,Over 40,3,North,2026-05-17,Boston White Eagles,,,Medford United,scheduled
Spring 2026,Over 40,3,North,2026-05-17,Windham,,,Lexington Eagles,scheduled
Spring 2026,Over 40,3,North,2026-05-17,Lynnfield FC,,,Nashua Absolute,scheduled
Spring 2026,Over 40,3,North,2026-05-31,Nashua Absolute,,,Arlington Pond Dawgz,scheduled
Spring 2026,Over 40,3,North,2026-05-31,Lexington Eagles,,,Boston White Eagles,scheduled
Spring 2026,Over 40,3,North,2026-05-31,Medford United,,,Windham,scheduled
Spring 2026,Over 40,3,North,2026-05-31,Lexington Bald Eagles O40,,,Lynnfield FC,scheduled
Spring 2026,Over 40,3,North,2026-06-07,Lexington Eagles,,,Arlington Pond Dawgz,scheduled
Spring 2026,Over 40,3,North,2026-06-07,Boston White Eagles,,,Nashua Absolute,scheduled
Spring 2026,Over 40,3,North,2026-06-07,Windham,,,Lexington Bald Eagles O40,scheduled
Spring 2026,Over 40,3,North,2026-06-07,Medford United,,,Lynnfield FC,scheduled
Spring 2026,Over 40,3,North,2026-06-14,Arlington Pond Dawgz,,,Boston White Eagles,scheduled
Spring 2026,Over 40,3,North,2026-06-14,Nashua Absolute,,,Lexington Eagles,scheduled
Spring 2026,Over 40,3,North,2026-06-14,Lexington Bald Eagles O40,,,Medford United,scheduled
Spring 2026,Over 40,3,North,2026-06-14,Lynnfield FC,,,Windham,scheduled
Spring 2026,Over 40,3,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,North,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,North,TBD,Nashua Absolute,,,Boston White Eagles,scheduled
Spring 2026,Over 40,3,South,2026-04-05,Chelsea FC,1,1,Vineyard FC,
Spring 2026,Over 40,3,South,2026-04-05,Mansfield United,1,3,Great Woods FC,
Spring 2026,Over 40,3,South,2026-04-05,Medfield FC,5,3,Peru Sports FC,
Spring 2026,Over 40,3,South,2026-04-05,Milton International,4,2,Irish Village Green,
Spring 2026,Over 40,3,South,2026-04-12,Great Woods FC,,,Chelsea FC,scheduled
Spring 2026,Over 40,3,South,2026-04-12,Vineyard FC,,,Mansfield United,scheduled
Spring 2026,Over 40,3,South,2026-04-12,Irish Village Green,,,Medfield FC,scheduled
Spring 2026,Over 40,3,South,2026-04-12,Peru Sports FC,,,Milton International,scheduled
Spring 2026,Over 40,3,South,2026-04-19,Chelsea FC,,,Mansfield United,scheduled
Spring 2026,Over 40,3,South,2026-04-19,Great Woods FC,,,Vineyard FC,scheduled
Spring 2026,Over 40,3,South,2026-04-19,Peru Sports FC,,,Irish Village Green,scheduled
Spring 2026,Over 40,3,South,2026-04-19,Milton International,,,Medfield FC,scheduled
Spring 2026,Over 40,3,South,2026-04-26,Vineyard FC,,,Milton International,scheduled
Spring 2026,Over 40,3,South,2026-04-26,Mansfield United,,,Peru Sports FC,scheduled
Spring 2026,Over 40,3,South,2026-04-26,Medfield FC,,,Great Woods FC,scheduled
Spring 2026,Over 40,3,South,2026-04-26,Irish Village Green,,,Chelsea FC,scheduled
Spring 2026,Over 40,3,South,2026-05-03,Medfield FC,,,Mansfield United,scheduled
Spring 2026,Over 40,3,South,2026-05-03,Peru Sports FC,,,Great Woods FC,scheduled
Spring 2026,Over 40,3,South,2026-05-03,Milton International,,,Chelsea FC,scheduled
Spring 2026,Over 40,3,South,2026-05-03,Irish Village Green,,,Vineyard FC,scheduled
Spring 2026,Over 40,3,South,2026-05-10,Chelsea FC,,,Peru Sports FC,scheduled
Spring 2026,Over 40,3,South,2026-05-10,Vineyard FC,,,Medfield FC,scheduled
Spring 2026,Over 40,3,South,2026-05-10,Mansfield United,,,Irish Village Green,scheduled
Spring 2026,Over 40,3,South,2026-05-10,Great Woods FC,,,Milton International,scheduled
Spring 2026,Over 40,3,South,2026-05-17,Chelsea FC,,,Medfield FC,scheduled
Spring 2026,Over 40,3,South,2026-05-17,Great Woods FC,,,Irish Village Green,scheduled
Spring 2026,Over 40,3,South,2026-05-17,Peru Sports FC,,,Vineyard FC,scheduled
Spring 2026,Over 40,3,South,2026-05-17,Milton International,,,Mansfield United,scheduled
Spring 2026,Over 40,3,South,2026-05-31,Mansfield United,,,Chelsea FC,scheduled
Spring 2026,Over 40,3,South,2026-05-31,Vineyard FC,,,Great Woods FC,scheduled
Spring 2026,Over 40,3,South,2026-05-31,Irish Village Green,,,Peru Sports FC,scheduled
Spring 2026,Over 40,3,South,2026-05-31,Medfield FC,,,Milton International,scheduled
Spring 2026,Over 40,3,South,2026-06-07,Vineyard FC,,,Chelsea FC,scheduled
Spring 2026,Over 40,3,South,2026-06-07,Great Woods FC,,,Mansfield United,scheduled
Spring 2026,Over 40,3,South,2026-06-07,Peru Sports FC,,,Medfield FC,scheduled
Spring 2026,Over 40,3,South,2026-06-07,Irish Village Green,,,Milton International,scheduled
Spring 2026,Over 40,3,South,2026-06-14,Chelsea FC,,,Great Woods FC,scheduled
Spring 2026,Over 40,3,South,2026-06-14,Mansfield United,,,Vineyard FC,scheduled
Spring 2026,Over 40,3,South,2026-06-14,Medfield FC,,,Irish Village Green,scheduled
Spring 2026,Over 40,3,South,2026-06-14,Milton International,,,Peru Sports FC,scheduled
Spring 2026,Over 40,3,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,3,South,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,North,2026-04-05,FC Littleton,5,0,MVFC,
Spring 2026,Over 40,4,North,2026-04-05,Nashoba Masters,1,6,Hopkinton Hotspur,
Spring 2026,Over 40,4,North,2026-04-05,Sudbury United,2,0,New England International,
Spring 2026,Over 40,4,North,2026-04-12,Hopkinton Hotspur,,,FC Littleton,scheduled
Spring 2026,Over 40,4,North,2026-04-12,MVFC,,,Nashoba Masters,scheduled
Spring 2026,Over 40,4,North,2026-04-12,New England International,,,Granite Coast F.C.,scheduled
Spring 2026,Over 40,4,North,2026-04-12,Hurricane SC,,,Sudbury United,scheduled
Spring 2026,Over 40,4,North,2026-04-19,FC Littleton,,,Nashoba Masters,scheduled
Spring 2026,Over 40,4,North,2026-04-19,Hopkinton Hotspur,,,MVFC,scheduled
Spring 2026,Over 40,4,North,2026-04-19,Hurricane SC,,,New England International,scheduled
Spring 2026,Over 40,4,North,2026-04-19,Sudbury United,,,Granite Coast F.C.,scheduled
Spring 2026,Over 40,4,North,2026-04-22,Granite Coast F.C.,,,Hurricane SC,scheduled
Spring 2026,Over 40,4,North,2026-04-26,MVFC,,,Sudbury United,scheduled
Spring 2026,Over 40,4,North,2026-04-26,Nashoba Masters,,,Hurricane SC,scheduled
Spring 2026,Over 40,4,North,2026-04-26,Granite Coast F.C.,,,Hopkinton Hotspur,scheduled
Spring 2026,Over 40,4,North,2026-04-26,New England International,,,FC Littleton,scheduled
Spring 2026,Over 40,4,North,2026-05-03,Granite Coast F.C.,,,Nashoba Masters,scheduled
Spring 2026,Over 40,4,North,2026-05-03,Hurricane SC,,,Hopkinton Hotspur,scheduled
Spring 2026,Over 40,4,North,2026-05-03,Sudbury United,,,FC Littleton,scheduled
Spring 2026,Over 40,4,North,2026-05-03,New England International,,,MVFC,scheduled
Spring 2026,Over 40,4,North,2026-05-10,FC Littleton,,,Hurricane SC,scheduled
Spring 2026,Over 40,4,North,2026-05-10,MVFC,,,Granite Coast F.C.,scheduled
Spring 2026,Over 40,4,North,2026-05-10,Nashoba Masters,,,New England International,scheduled
Spring 2026,Over 40,4,North,2026-05-10,Hopkinton Hotspur,,,Sudbury United,scheduled
Spring 2026,Over 40,4,North,2026-05-17,FC Littleton,,,Granite Coast F.C.,scheduled
Spring 2026,Over 40,4,North,2026-05-17,Hopkinton Hotspur,,,New England International,scheduled
Spring 2026,Over 40,4,North,2026-05-17,Hurricane SC,,,MVFC,scheduled
Spring 2026,Over 40,4,North,2026-05-17,Sudbury United,,,Nashoba Masters,scheduled
Spring 2026,Over 40,4,North,2026-05-31,Nashoba Masters,,,FC Littleton,scheduled
Spring 2026,Over 40,4,North,2026-05-31,MVFC,,,Hopkinton Hotspur,scheduled
Spring 2026,Over 40,4,North,2026-05-31,New England International,,,Hurricane SC,scheduled
Spring 2026,Over 40,4,North,2026-05-31,Granite Coast F.C.,,,Sudbury United,scheduled
Spring 2026,Over 40,4,North,2026-06-07,MVFC,,,FC Littleton,scheduled
Spring 2026,Over 40,4,North,2026-06-07,Hopkinton Hotspur,,,Nashoba Masters,scheduled
Spring 2026,Over 40,4,North,2026-06-07,Hurricane SC,,,Granite Coast F.C.,scheduled
Spring 2026,Over 40,4,North,2026-06-07,New England International,,,Sudbury United,scheduled
Spring 2026,Over 40,4,North,2026-06-14,FC Littleton,,,Hopkinton Hotspur,scheduled
Spring 2026,Over 40,4,North,2026-06-14,Nashoba Masters,,,MVFC,scheduled
Spring 2026,Over 40,4,North,2026-06-14,Granite Coast F.C.,,,New England International,scheduled
Spring 2026,Over 40,4,North,2026-06-14,Sudbury United,,,Hurricane SC,scheduled
Spring 2026,Over 40,4,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,North,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,South,2026-04-05,Wayland Wahoo,4,1,West Roxbury United,
Spring 2026,Over 40,4,South,2026-04-05,FC Franklin,4,1,Medway,
Spring 2026,Over 40,4,South,2026-04-05,FC Needham United,0,3,Cabo Verde FC,
Spring 2026,Over 40,4,South,2026-04-05,FIMA FC,6,0,Newport FC O40,
Spring 2026,Over 40,4,South,2026-04-12,Medway,,,Wayland Wahoo,scheduled
Spring 2026,Over 40,4,South,2026-04-12,West Roxbury United,,,FC Franklin,scheduled
Spring 2026,Over 40,4,South,2026-04-12,Newport FC O40,,,FC Needham United,scheduled
Spring 2026,Over 40,4,South,2026-04-12,Cabo Verde FC,,,FIMA FC,scheduled
Spring 2026,Over 40,4,South,2026-04-19,Wayland Wahoo,,,FC Franklin,scheduled
Spring 2026,Over 40,4,South,2026-04-19,Medway,,,West Roxbury United,scheduled
Spring 2026,Over 40,4,South,2026-04-19,Cabo Verde FC,,,Newport FC O40,scheduled
Spring 2026,Over 40,4,South,2026-04-19,FIMA FC,,,FC Needham United,scheduled
Spring 2026,Over 40,4,South,2026-04-26,West Roxbury United,,,FIMA FC,scheduled
Spring 2026,Over 40,4,South,2026-04-26,FC Franklin,,,Cabo Verde FC,scheduled
Spring 2026,Over 40,4,South,2026-04-26,FC Needham United,,,Medway,scheduled
Spring 2026,Over 40,4,South,2026-04-26,Newport FC O40,,,Wayland Wahoo,scheduled
Spring 2026,Over 40,4,South,2026-05-03,FC Needham United,,,FC Franklin,scheduled
Spring 2026,Over 40,4,South,2026-05-03,Cabo Verde FC,,,Medway,scheduled
Spring 2026,Over 40,4,South,2026-05-03,FIMA FC,,,Wayland Wahoo,scheduled
Spring 2026,Over 40,4,South,2026-05-03,Newport FC O40,,,West Roxbury United,scheduled
Spring 2026,Over 40,4,South,2026-05-10,Wayland Wahoo,,,Cabo Verde FC,scheduled
Spring 2026,Over 40,4,South,2026-05-10,West Roxbury United,,,FC Needham United,scheduled
Spring 2026,Over 40,4,South,2026-05-10,FC Franklin,,,Newport FC O40,scheduled
Spring 2026,Over 40,4,South,2026-05-10,Medway,,,FIMA FC,scheduled
Spring 2026,Over 40,4,South,2026-05-17,Wayland Wahoo,,,FC Needham United,scheduled
Spring 2026,Over 40,4,South,2026-05-17,Medway,,,Newport FC O40,scheduled
Spring 2026,Over 40,4,South,2026-05-17,Cabo Verde FC,,,West Roxbury United,scheduled
Spring 2026,Over 40,4,South,2026-05-17,FIMA FC,,,FC Franklin,scheduled
Spring 2026,Over 40,4,South,2026-05-31,FC Franklin,,,Wayland Wahoo,scheduled
Spring 2026,Over 40,4,South,2026-05-31,West Roxbury United,,,Medway,scheduled
Spring 2026,Over 40,4,South,2026-05-31,Newport FC O40,,,Cabo Verde FC,scheduled
Spring 2026,Over 40,4,South,2026-05-31,FC Needham United,,,FIMA FC,scheduled
Spring 2026,Over 40,4,South,2026-06-07,West Roxbury United,,,Wayland Wahoo,scheduled
Spring 2026,Over 40,4,South,2026-06-07,Medway,,,FC Franklin,scheduled
Spring 2026,Over 40,4,South,2026-06-07,Cabo Verde FC,,,FC Needham United,scheduled
Spring 2026,Over 40,4,South,2026-06-07,Newport FC O40,,,FIMA FC,scheduled
Spring 2026,Over 40,4,South,2026-06-14,Wayland Wahoo,,,Medway,scheduled
Spring 2026,Over 40,4,South,2026-06-14,FC Franklin,,,West Roxbury United,scheduled
Spring 2026,Over 40,4,South,2026-06-14,FC Needham United,,,Newport FC O40,scheduled
Spring 2026,Over 40,4,South,2026-06-14,FIMA FC,,,Cabo Verde FC,scheduled
Spring 2026,Over 40,4,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,4,South,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,North,2026-04-04,Acton-Boxboro United,2,0,Rebels,
Spring 2026,Over 40,5,North,2026-04-05,Dirty Groton Scoundrels,3,3,FC Newburyport Brew,
Spring 2026,Over 40,5,North,2026-04-05,Wen Ham United FC,3,2,Bristol FC,
Spring 2026,Over 40,5,North,2026-04-12,FC Newburyport Brew,,,Acton-Boxboro United,scheduled
Spring 2026,Over 40,5,North,2026-04-12,Rebels,,,Dirty Groton Scoundrels,scheduled
Spring 2026,Over 40,5,North,2026-04-12,Wahooligans FC,,,Wen Ham United FC,scheduled
Spring 2026,Over 40,5,North,2026-04-12,Bristol FC,,,FC Old Skool,scheduled
Spring 2026,Over 40,5,North,2026-04-19,Acton-Boxboro United,,,Dirty Groton Scoundrels,scheduled
Spring 2026,Over 40,5,North,2026-04-19,FC Newburyport Brew,,,Rebels,scheduled
Spring 2026,Over 40,5,North,2026-04-19,Bristol FC,,,Wahooligans FC,scheduled
Spring 2026,Over 40,5,North,2026-04-19,FC Old Skool,,,Wen Ham United FC,scheduled
Spring 2026,Over 40,5,North,2026-04-26,Rebels,,,FC Old Skool,scheduled
Spring 2026,Over 40,5,North,2026-04-26,Dirty Groton Scoundrels,,,Bristol FC,scheduled
Spring 2026,Over 40,5,North,2026-04-26,Wen Ham United FC,,,FC Newburyport Brew,scheduled
Spring 2026,Over 40,5,North,2026-04-26,Wahooligans FC,,,Acton-Boxboro United,scheduled
Spring 2026,Over 40,5,North,2026-05-03,Wen Ham United FC,,,Dirty Groton Scoundrels,scheduled
Spring 2026,Over 40,5,North,2026-05-03,Bristol FC,,,FC Newburyport Brew,scheduled
Spring 2026,Over 40,5,North,2026-05-03,FC Old Skool,,,Acton-Boxboro United,scheduled
Spring 2026,Over 40,5,North,2026-05-03,Wahooligans FC,,,Rebels,scheduled
Spring 2026,Over 40,5,North,2026-05-10,Acton-Boxboro United,,,Bristol FC,scheduled
Spring 2026,Over 40,5,North,2026-05-10,Rebels,,,Wen Ham United FC,scheduled
Spring 2026,Over 40,5,North,2026-05-10,Dirty Groton Scoundrels,,,Wahooligans FC,scheduled
Spring 2026,Over 40,5,North,2026-05-10,FC Newburyport Brew,,,FC Old Skool,scheduled
Spring 2026,Over 40,5,North,2026-05-17,Acton-Boxboro United,,,Wen Ham United FC,scheduled
Spring 2026,Over 40,5,North,2026-05-17,FC Newburyport Brew,,,Wahooligans FC,scheduled
Spring 2026,Over 40,5,North,2026-05-17,Bristol FC,,,Rebels,scheduled
Spring 2026,Over 40,5,North,2026-05-17,FC Old Skool,,,Dirty Groton Scoundrels,scheduled
Spring 2026,Over 40,5,North,2026-05-31,Dirty Groton Scoundrels,,,Acton-Boxboro United,scheduled
Spring 2026,Over 40,5,North,2026-05-31,Rebels,,,FC Newburyport Brew,scheduled
Spring 2026,Over 40,5,North,2026-05-31,Wahooligans FC,,,Bristol FC,scheduled
Spring 2026,Over 40,5,North,2026-05-31,Wen Ham United FC,,,FC Old Skool,scheduled
Spring 2026,Over 40,5,North,2026-06-07,Rebels,,,Acton-Boxboro United,scheduled
Spring 2026,Over 40,5,North,2026-06-07,FC Newburyport Brew,,,Dirty Groton Scoundrels,scheduled
Spring 2026,Over 40,5,North,2026-06-07,Bristol FC,,,Wen Ham United FC,scheduled
Spring 2026,Over 40,5,North,2026-06-07,Wahooligans FC,,,FC Old Skool,scheduled
Spring 2026,Over 40,5,North,2026-06-14,Acton-Boxboro United,,,FC Newburyport Brew,scheduled
Spring 2026,Over 40,5,North,2026-06-14,Dirty Groton Scoundrels,,,Rebels,scheduled
Spring 2026,Over 40,5,North,2026-06-14,Wen Ham United FC,,,Wahooligans FC,scheduled
Spring 2026,Over 40,5,North,2026-06-14,FC Old Skool,,,Bristol FC,scheduled
Spring 2026,Over 40,5,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,North,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,North,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,North,TBD,FC Old Skool,,,Wahooligans FC,scheduled
Spring 2026,Over 40,5,South,2026-04-04,Medfield,2,2,FC Franklin II,
Spring 2026,Over 40,5,South,2026-04-05,FC Walpole,4,0,Hogs FC,
Spring 2026,Over 40,5,South,2026-04-05,Irish Village White,3,3,HTK FC,
Spring 2026,Over 40,5,South,2026-04-12,Canary Square Veterans,,,FC Walpole,scheduled
Spring 2026,Over 40,5,South,2026-04-12,Hogs FC,,,Milton FC,scheduled
Spring 2026,Over 40,5,South,2026-04-12,HTK FC,,,Medfield,scheduled
Spring 2026,Over 40,5,South,2026-04-12,FC Franklin II,,,Irish Village White,scheduled
Spring 2026,Over 40,5,South,2026-04-19,FC Walpole,,,Milton FC,scheduled
Spring 2026,Over 40,5,South,2026-04-19,Canary Square Veterans,,,Hogs FC,scheduled
Spring 2026,Over 40,5,South,2026-04-19,FC Franklin II,,,HTK FC,scheduled
Spring 2026,Over 40,5,South,2026-04-19,Irish Village White,,,Medfield,scheduled
Spring 2026,Over 40,5,South,2026-04-26,Hogs FC,,,Irish Village White,scheduled
Spring 2026,Over 40,5,South,2026-04-26,Milton FC,,,FC Franklin II,scheduled
Spring 2026,Over 40,5,South,2026-04-26,Medfield,,,Canary Square Veterans,scheduled
Spring 2026,Over 40,5,South,2026-04-26,HTK FC,,,FC Walpole,scheduled
Spring 2026,Over 40,5,South,2026-05-03,Medfield,,,Milton FC,scheduled
Spring 2026,Over 40,5,South,2026-05-03,FC Franklin II,,,Canary Square Veterans,scheduled
Spring 2026,Over 40,5,South,2026-05-03,Irish Village White,,,FC Walpole,scheduled
Spring 2026,Over 40,5,South,2026-05-03,HTK FC,,,Hogs FC,scheduled
Spring 2026,Over 40,5,South,2026-05-10,FC Walpole,,,FC Franklin II,scheduled
Spring 2026,Over 40,5,South,2026-05-10,Hogs FC,,,Medfield,scheduled
Spring 2026,Over 40,5,South,2026-05-10,Milton FC,,,HTK FC,scheduled
Spring 2026,Over 40,5,South,2026-05-10,Canary Square Veterans,,,Irish Village White,scheduled
Spring 2026,Over 40,5,South,2026-05-17,FC Walpole,,,Medfield,scheduled
Spring 2026,Over 40,5,South,2026-05-17,Canary Square Veterans,,,HTK FC,scheduled
Spring 2026,Over 40,5,South,2026-05-17,FC Franklin II,,,Hogs FC,scheduled
Spring 2026,Over 40,5,South,2026-05-17,Irish Village White,,,Milton FC,scheduled
Spring 2026,Over 40,5,South,2026-05-24,Milton FC,,,Canary Square Veterans,scheduled
Spring 2026,Over 40,5,South,2026-05-31,Milton FC,,,FC Walpole,scheduled
Spring 2026,Over 40,5,South,2026-05-31,Hogs FC,,,Canary Square Veterans,scheduled
Spring 2026,Over 40,5,South,2026-05-31,HTK FC,,,FC Franklin II,scheduled
Spring 2026,Over 40,5,South,2026-05-31,Medfield,,,Irish Village White,scheduled
Spring 2026,Over 40,5,South,2026-06-07,Hogs FC,,,FC Walpole,scheduled
Spring 2026,Over 40,5,South,2026-06-07,Canary Square Veterans,,,Milton FC,scheduled
Spring 2026,Over 40,5,South,2026-06-07,FC Franklin II,,,Medfield,scheduled
Spring 2026,Over 40,5,South,2026-06-07,HTK FC,,,Irish Village White,scheduled
Spring 2026,Over 40,5,South,2026-06-14,FC Walpole,,,Canary Square Veterans,scheduled
Spring 2026,Over 40,5,South,2026-06-14,Milton FC,,,Hogs FC,scheduled
Spring 2026,Over 40,5,South,2026-06-14,Medfield,,,HTK FC,scheduled
Spring 2026,Over 40,5,South,2026-06-14,Irish Village White,,,FC Franklin II,scheduled
Spring 2026,Over 40,5,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,South,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,5,South,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 40,6,Central,2026-04-05,BNFC,1,4,Post-game Nomads,
Spring 2026,Over 40,6,Central,2026-04-05,North Reading FC,0,4,Hampstead Hurricanes,
Spring 2026,Over 40,6,Central,2026-04-12,Post-game Nomads,,,Island United FC,scheduled
Spring 2026,Over 40,6,Central,2026-04-12,Harvard Blues FC,,,BNFC,scheduled
Spring 2026,Over 40,6,Central,2026-04-12,Hampstead Hurricanes,,,Carlisle FC,scheduled
Spring 2026,Over 40,6,Central,2026-04-19,Island United FC,,,BNFC,scheduled
Spring 2026,Over 40,6,Central,2026-04-19,Post-game Nomads,,,Harvard Blues FC,scheduled
Spring 2026,Over 40,6,Central,2026-04-19,North Reading FC,,,Carlisle FC,scheduled
Spring 2026,Over 40,6,Central,2026-04-26,Harvard Blues FC,,,North Reading FC,scheduled
Spring 2026,Over 40,6,Central,2026-04-26,Carlisle FC,,,Post-game Nomads,scheduled
Spring 2026,Over 40,6,Central,2026-04-26,Hampstead Hurricanes,,,Island United FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-03,Carlisle FC,,,BNFC,scheduled
Spring 2026,Over 40,6,Central,2026-05-03,North Reading FC,,,Island United FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-03,Hampstead Hurricanes,,,Harvard Blues FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-10,Harvard Blues FC,,,Carlisle FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-10,BNFC,,,Hampstead Hurricanes,scheduled
Spring 2026,Over 40,6,Central,2026-05-10,Post-game Nomads,,,North Reading FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-17,Island United FC,,,Carlisle FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-17,Post-game Nomads,,,Hampstead Hurricanes,scheduled
Spring 2026,Over 40,6,Central,2026-05-17,North Reading FC,,,BNFC,scheduled
Spring 2026,Over 40,6,Central,2026-05-31,BNFC,,,Island United FC,scheduled
Spring 2026,Over 40,6,Central,2026-05-31,Harvard Blues FC,,,Post-game Nomads,scheduled
Spring 2026,Over 40,6,Central,2026-05-31,Carlisle FC,,,North Reading FC,scheduled
Spring 2026,Over 40,6,Central,2026-06-07,Harvard Blues FC,,,Island United FC,scheduled
Spring 2026,Over 40,6,Central,2026-06-07,Post-game Nomads,,,BNFC,scheduled
Spring 2026,Over 40,6,Central,2026-06-07,Hampstead Hurricanes,,,North Reading FC,scheduled
Spring 2026,Over 40,6,Central,2026-06-14,Island United FC,,,Post-game Nomads,scheduled
Spring 2026,Over 40,6,Central,2026-06-14,BNFC,,,Harvard Blues FC,scheduled
Spring 2026,Over 40,6,Central,2026-06-14,Carlisle FC,,,Hampstead Hurricanes,scheduled
Spring 2026,Over 40,6,Central,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,6,Central,2026-06-21,TBD,,,TBD,scheduled
Spring 2026,Over 40,6,Central,2026-06-28,TBD,,,TBD,scheduled
Spring 2026,Over 48,1,North,2026-04-05,Marblehead,0,2,Danvers - True Soccer FC,
Spring 2026,Over 48,1,North,2026-04-05,Stoneham Spartans Over 48,4,1,Westford FC,
Spring 2026,Over 48,1,North,2026-04-05,DEA,2,0,Nashoba,
Spring 2026,Over 48,1,North,2026-04-05,FC Boxford,0,4,Concord United,
Spring 2026,Over 48,1,North,2026-04-12,Westford FC,,,Marblehead,scheduled
Spring 2026,Over 48,1,North,2026-04-12,Danvers - True Soccer FC,,,Stoneham Spartans Over 48,scheduled
Spring 2026,Over 48,1,North,2026-04-12,Concord United,,,DEA,scheduled
